Server Started
Fri Dec  5 14:43:16 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0010s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/clustering_kmeans_pca.png | Status: 304 | Time: 0.0057s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 304 | Time: 0.0051s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/static/app.js | Status: 304 | Time: 0.0057s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/shap_summary.png | Status: 304 | Time: 0.0062s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/shap_bar.png | Status: 304 | Time: 0.0076s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/shap_dependence.png | Status: 304 | Time: 0.0022s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0010s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0025s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0064s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0066s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0008s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0028s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0017s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 304 | Time: 0.0023s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 304 | Time: 0.0032s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0007s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0022s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0007s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0042s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0009s
Fri Dec  5 14:59:21 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0028s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0008s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/static/styles.css | Status: 304 | Time: 0.0013s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/clustering_elbow.png | Status: 304 | Time: 0.0020s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/clustering_silhouette.png | Status: 304 | Time: 0.0015s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/clustering_kmeans_pca.png | Status: 304 | Time: 0.0009s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 200 | Time: 0.0012s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/static/app.js | Status: 304 | Time: 0.0007s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 200 | Time: 0.0009s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0012s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0006s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0007s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0035s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/shap_summary.png | Status: 304 | Time: 0.0022s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/shap_bar.png | Status: 304 | Time: 0.0023s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0041s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/plots/shap_dependence.png | Status: 304 | Time: 0.0047s
Fri Dec  5 15:01:32 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0027s
